is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-05-13 09:44:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0416666666666666,0.15833333333333333,27554,25477,231009,11394
1,2022-05-13 08:26:14+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0166666666666666,0.2833333333333333,4398,4753,84630,558
1,2022-05-13 01:52:48+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,3237,6697,93952,425
1,2022-05-13 01:31:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.06666666666666667,3720,2894,90436,291
1,2022-05-13 01:29:06+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,20362,17460,274184,3352
1,2022-05-13 00:38:13+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,8858,11282,95481,1137
1,2022-05-12 22:45:27+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.0833333333333333,0.08333333333333334,93839,61483,1079304,13902
1,2022-05-12 22:36:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1666666666666666,0.2833333333333333,40816,45138,579561,7413
1,2022-05-12 22:21:34+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,25279,14402,342269,1877
1,2022-05-12 00:25:30+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0952380952380952,0.17857142857142858,12724,9987,215900,2893
1,2022-05-12 00:24:46+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.25,32808,19666,565225,5456
1,2022-05-11 19:24:56+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,40903,19115,447249,2750
1,2022-05-11 00:56:54+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.05,0.5,15095,12070,148880,1116
1,2022-05-09 13:35:52+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.7,0.6000000000000001,75954,71618,1139966,15413
1,2022-05-09 11:13:59+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,12557,11276,177038,1338
